impl,N,B,d,k,median_ms,p95_ms,runs,max_abs_err,indices_match,device,seed
cpu_numpy,2039,1,384,5,0.6503,2.6393,15,0.000e+00,True,"Tesla T4 (sm_75, 14.6 GB)",0
v0_naive,2039,1,384,5,3.025,3.2343,15,5.960e-08,True,"Tesla T4 (sm_75, 14.6 GB)",0
v1_shared,2039,1,384,5,2.9352,3.0418,15,5.960e-08,True,"Tesla T4 (sm_75, 14.6 GB)",0
v2_warp,2039,1,384,5,2.8822,3.0602,15,1.490e-08,True,"Tesla T4 (sm_75, 14.6 GB)",0
v3_topk,2039,1,384,5,1.9517,2.0659,15,1.490e-08,True,"Tesla T4 (sm_75, 14.6 GB)",0
v4_batch,2039,1,384,5,1.6691,1.7024,15,1.490e-08,True,"Tesla T4 (sm_75, 14.6 GB)",0
cublas,2039,1,384,5,3.3775,3.5505,15,0.000e+00,True,"Tesla T4 (sm_75, 14.6 GB)",0
torch_gpu,2039,1,384,5,1.1315,1.2602,15,0.000e+00,True,"Tesla T4 (sm_75, 14.6 GB)",0
cpu_numpy,2039,8,384,5,7.8523,8.0498,15,0.000e+00,True,"Tesla T4 (sm_75, 14.6 GB)",0
v0_naive,2039,8,384,5,6.3264,10.935,15,0.000e+00,True,"Tesla T4 (sm_75, 14.6 GB)",0
v1_shared,2039,8,384,5,2.797,3.2266,15,0.000e+00,True,"Tesla T4 (sm_75, 14.6 GB)",0
v2_warp,2039,8,384,5,2.757,3.0125,15,1.192e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
v3_topk,2039,8,384,5,1.8908,1.9264,15,1.192e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
v4_batch,2039,8,384,5,1.6838,1.732,15,1.192e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
cublas,2039,8,384,5,3.3286,3.6333,15,1.043e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
torch_gpu,2039,8,384,5,1.0272,1.0678,15,1.043e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
cpu_numpy,2039,32,384,5,15.8664,21.0138,15,0.000e+00,True,"Tesla T4 (sm_75, 14.6 GB)",0
v0_naive,2039,32,384,5,6.4821,7.9694,15,0.000e+00,True,"Tesla T4 (sm_75, 14.6 GB)",0
v1_shared,2039,32,384,5,3.5502,3.6366,15,0.000e+00,True,"Tesla T4 (sm_75, 14.6 GB)",0
v2_warp,2039,32,384,5,3.1891,3.3348,15,2.086e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
v3_topk,2039,32,384,5,2.0702,2.1888,15,2.086e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
v4_batch,2039,32,384,5,1.6858,1.7031,15,2.086e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
cublas,2039,32,384,5,3.7572,3.8874,15,2.533e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
torch_gpu,2039,32,384,5,1.0473,1.0949,15,2.533e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
cpu_numpy,10000,1,384,5,7.3044,8.0154,15,0.000e+00,True,"Tesla T4 (sm_75, 14.6 GB)",0
v0_naive,10000,1,384,5,7.7446,11.2112,15,1.490e-08,True,"Tesla T4 (sm_75, 14.6 GB)",0
v1_shared,10000,1,384,5,5.563,5.7399,15,1.490e-08,True,"Tesla T4 (sm_75, 14.6 GB)",0
v2_warp,10000,1,384,5,4.5751,5.4916,15,1.490e-08,True,"Tesla T4 (sm_75, 14.6 GB)",0
v3_topk,10000,1,384,5,4.3476,4.4258,15,1.490e-08,True,"Tesla T4 (sm_75, 14.6 GB)",0
v4_batch,10000,1,384,5,3.9805,4.1715,15,1.490e-08,True,"Tesla T4 (sm_75, 14.6 GB)",0
cublas,10000,1,384,5,5.0721,6.0945,15,2.980e-08,True,"Tesla T4 (sm_75, 14.6 GB)",0
torch_gpu,10000,1,384,5,3.423,3.5228,15,2.980e-08,True,"Tesla T4 (sm_75, 14.6 GB)",0
cpu_numpy,10000,8,384,5,14.2994,19.4102,15,0.000e+00,True,"Tesla T4 (sm_75, 14.6 GB)",0
v0_naive,10000,8,384,5,7.0468,7.3053,15,0.000e+00,True,"Tesla T4 (sm_75, 14.6 GB)",0
v1_shared,10000,8,384,5,5.4953,5.6796,15,0.000e+00,True,"Tesla T4 (sm_75, 14.6 GB)",0
v2_warp,10000,8,384,5,5.2066,5.4094,15,1.341e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
v3_topk,10000,8,384,5,3.8443,3.8969,15,1.341e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
v4_batch,10000,8,384,5,3.8484,4.4301,15,1.341e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
cublas,10000,8,384,5,5.1993,5.3617,15,1.341e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
torch_gpu,10000,8,384,5,3.4943,3.5479,15,1.341e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
cpu_numpy,10000,32,384,5,40.7971,42.7997,15,0.000e+00,True,"Tesla T4 (sm_75, 14.6 GB)",0
v0_naive,10000,32,384,5,9.2478,10.0383,15,0.000e+00,True,"Tesla T4 (sm_75, 14.6 GB)",0
v1_shared,10000,32,384,5,6.9845,8.0964,15,0.000e+00,True,"Tesla T4 (sm_75, 14.6 GB)",0
v2_warp,10000,32,384,5,6.8034,6.936,15,1.639e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
v3_topk,10000,32,384,5,4.3923,4.4425,15,1.639e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
v4_batch,10000,32,384,5,4.081,4.1775,15,1.639e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
cublas,10000,32,384,5,5.7023,5.8478,15,0.000e+00,True,"Tesla T4 (sm_75, 14.6 GB)",0
torch_gpu,10000,32,384,5,3.4888,3.5553,15,0.000e+00,True,"Tesla T4 (sm_75, 14.6 GB)",0
cpu_numpy,100000,1,384,5,80.4043,84.6625,15,0.000e+00,True,"Tesla T4 (sm_75, 14.6 GB)",0
v0_naive,100000,1,384,5,40.8445,42.0036,15,1.043e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
v1_shared,100000,1,384,5,36.4668,51.3337,15,1.043e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
v2_warp,100000,1,384,5,36.5032,37.6036,15,1.490e-08,True,"Tesla T4 (sm_75, 14.6 GB)",0
v3_topk,100000,1,384,5,36.271,36.6929,15,1.490e-08,True,"Tesla T4 (sm_75, 14.6 GB)",0
v4_batch,100000,1,384,5,36.4281,39.0331,15,1.490e-08,True,"Tesla T4 (sm_75, 14.6 GB)",0
cublas,100000,1,384,5,38.7019,43.1216,15,2.980e-08,True,"Tesla T4 (sm_75, 14.6 GB)",0
torch_gpu,100000,1,384,5,34.8101,36.8793,15,2.980e-08,True,"Tesla T4 (sm_75, 14.6 GB)",0
cpu_numpy,100000,8,384,5,209.6236,220.9101,15,0.000e+00,True,"Tesla T4 (sm_75, 14.6 GB)",0
v0_naive,100000,8,384,5,56.3328,58.513,15,0.000e+00,True,"Tesla T4 (sm_75, 14.6 GB)",0
v1_shared,100000,8,384,5,43.6549,44.6758,15,0.000e+00,True,"Tesla T4 (sm_75, 14.6 GB)",0
v2_warp,100000,8,384,5,41.768,44.0604,15,1.192e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
v3_topk,100000,8,384,5,40.2766,40.7255,15,1.192e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
v4_batch,100000,8,384,5,36.6312,37.8173,15,1.192e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
cublas,100000,8,384,5,39.4214,42.5989,15,1.341e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
torch_gpu,100000,8,384,5,34.1913,34.4537,15,1.341e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
cpu_numpy,100000,32,384,5,491.7345,501.3951,15,0.000e+00,True,"Tesla T4 (sm_75, 14.6 GB)",0
v0_naive,100000,32,384,5,118.6402,121.3084,15,0.000e+00,True,"Tesla T4 (sm_75, 14.6 GB)",0
v1_shared,100000,32,384,5,78.3789,84.2862,15,0.000e+00,True,"Tesla T4 (sm_75, 14.6 GB)",0
v2_warp,100000,32,384,5,61.5408,64.8566,15,1.788e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
v3_topk,100000,32,384,5,54.9781,55.8613,15,1.788e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
v4_batch,100000,32,384,5,38.5381,40.4392,15,1.788e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
cublas,100000,32,384,5,47.787,48.5419,15,0.000e+00,True,"Tesla T4 (sm_75, 14.6 GB)",0
torch_gpu,100000,32,384,5,33.9102,35.2581,15,0.000e+00,True,"Tesla T4 (sm_75, 14.6 GB)",0
v0_naive,1000000,1,384,5,380.8116,390.566,15,2.980e-08,True,"Tesla T4 (sm_75, 14.6 GB)",0
