mode,impl,N,B,d,k,median_ms,p95_ms,runs,max_abs_err,indices_match,device,seed
persistent,cpu_numpy,2039,1,384,5,0.6309,0.6636,15,0.000e+00,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,v3_topk,2039,1,384,5,0.738,0.7419,15,1.490e-08,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,v4_batch,2039,1,384,5,0.3708,0.3793,15,1.490e-08,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,v5_regblock,2039,1,384,5,0.2902,0.2966,15,1.490e-08,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,cublas,2039,1,384,5,0.0999,0.1094,15,0.000e+00,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,torch_gpu,2039,1,384,5,0.21,0.2296,15,0.000e+00,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,cpu_numpy,2039,8,384,5,2.5399,2.9126,15,0.000e+00,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,v3_topk,2039,8,384,5,0.802,0.8083,15,1.192e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,v4_batch,2039,8,384,5,0.6463,0.6521,15,1.192e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,v5_regblock,2039,8,384,5,0.4088,0.4245,15,1.192e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,cublas,2039,8,384,5,0.2157,0.2254,15,1.043e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,torch_gpu,2039,8,384,5,0.2695,0.2822,15,1.043e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,cpu_numpy,2039,32,384,5,6.9487,13.3454,15,0.000e+00,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,v3_topk,2039,32,384,5,0.9411,0.9501,15,2.086e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,v4_batch,2039,32,384,5,0.6661,0.678,15,2.086e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,v5_regblock,2039,32,384,5,0.4286,0.4381,15,2.086e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,cublas,2039,32,384,5,0.4947,0.5272,15,2.533e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,torch_gpu,2039,32,384,5,0.2793,0.292,15,2.533e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,cpu_numpy,10000,1,384,5,4.0755,5.3423,15,0.000e+00,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,v3_topk,10000,1,384,5,0.9672,1.1413,15,1.490e-08,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,v4_batch,10000,1,384,5,0.5598,0.6305,15,1.490e-08,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,v5_regblock,10000,1,384,5,0.4308,0.4582,15,1.490e-08,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,cublas,10000,1,384,5,0.2074,0.2535,15,2.980e-08,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,torch_gpu,10000,1,384,5,0.4447,0.7277,15,2.980e-08,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,cpu_numpy,10000,8,384,5,27.5577,32.1338,15,0.000e+00,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,v3_topk,10000,8,384,5,2.1254,3.0603,15,1.341e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,v4_batch,10000,8,384,5,0.7892,2.6581,15,1.341e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,v5_regblock,10000,8,384,5,0.5061,2.4895,15,1.341e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,cublas,10000,8,384,5,0.6578,2.6421,15,1.341e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,torch_gpu,10000,8,384,5,0.5024,0.5118,15,1.341e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,cpu_numpy,10000,32,384,5,86.208,93.0378,15,0.000e+00,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,v3_topk,10000,32,384,5,3.4185,3.9813,15,1.639e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,v4_batch,10000,32,384,5,1.381,1.4119,15,1.639e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,v5_regblock,10000,32,384,5,0.7866,0.8146,15,1.639e-07,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,cublas,10000,32,384,5,1.9807,2.1959,15,0.000e+00,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,torch_gpu,10000,32,384,5,0.5618,0.584,15,0.000e+00,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,cpu_numpy,100000,1,384,5,81.6854,84.2165,15,0.000e+00,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,v3_topk,100000,1,384,5,1.3411,1.3492,15,1.490e-08,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,v4_batch,100000,1,384,5,1.6679,1.676,15,1.490e-08,True,"Tesla T4 (sm_75, 14.6 GB)",0
persistent,v5_regblock,100000,1,384,5,1.3397,1.3563,15,1.490e-08,True,"Tesla T4 (sm_75, 14.6 GB)",0
